DEPTO,ENVASE,PRODUCTO_VENTA,PRECIO_VENTA,DEPT_INV,ARTICULO_INVENT,COSTO_UNIT,CANT,COSTO_PORCION,CONSUMO,
TACOS,Sin Envase,TACOS DE CAMARON,10,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CHORIZO,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACO CARNE ENCEBOLLADA,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE CARNE,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACO CARNE ENCEBOLLADA,8,CARNES,RINCON,0.0132,3.636,4.79951989173889E-02,GRAMOS
TACOS,Sin Envase,TACO ORALE,10,CARNES,RINCON,0.0132,1.363,1.79916004657745E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHOS DE CHORIZO,14,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.136,1.84032006025314E-02,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRES POLLO,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACOS DE POLLO,8,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
TACOS,Sin Envase,TACOS DE POLLO,8,POLLOS o AVES,PECHUGA DE POLLO,0.0047,3.636,1.70891996145248E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO VEGETARIANO,14,ESENCIAS,FRIJOLES NEGROS,0.0022,5.455,1.20009998321533E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO VEGETARIANO,14,QUESOS / LECHE,MONTERREY JACK,0.0066,5.455,0.03600299949646,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,QUESOS / LECHE,CHEDAR,0.0066,2.273,1.50018000125885E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,ESENCIAS,FRIJOLES NEGROS,0.0022,5.455,1.20009998321533E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,QUESOS / LECHE,MONTERREY JACK,0.0066,2.273,1.50018000125885E-02,GRAMOS
TACOS,Sin Envase,TACO DE CARNE,8,CARNES,RINCON,0.0132,4.091,5.40012010574341E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHOS DE CHORIZO,14,QUESOS / LECHE,MONTERREY JACK,0.0066,4.545,0.02999700050354,GRAMOS
TACOS,Sin Envase,TACO DE CARNE,8,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA MIXTA,10,POLLOS o AVES,PECHUGA DE POLLO,0.0047,0.682,3.20539991259575E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA MIXTA,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA MIXTA,10,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,0.909,1.47257996678352E-02,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CHORIZO,10,VEGETALES ,CEBOLLINA,0.002,0.045,9.00000035762787E-05,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CHORIZO,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CHORIZO,10,VARIOS,TOTOPOS - NACHOS,0.0011,22,0.0242,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CHORIZO,10,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,0.909,1.47257996678352E-02,GRAMOS
ENCHILADAS,Sin Envase,ENCHI DE LA ABUELA,12,POLLOS o AVES,PECHUGA DE POLLO,0.0047,0.8333,3.91650997400284E-03,GRAMOS
LOS NACHOS,Sin Envase,NACHO ORALE,14,CARNES,CHORIZO MEJICANO,0.0067,4.091,2.74097005367279E-02,GRAMOS
TACOS,Sin Envase,TACOS POLLO PASTOR,8,VEGETALES ,LIMONES,0.0002,0.318,6.35999977588654E-05,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA MIXTA,10,CARNES,CHORIZO MEJICANO,0.0067,0.682,4.56939987540245E-03,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,VEGETALES ,LECHUGAS,0.0013,0.909,1.1816999733448E-03,GRAMOS
TACOS,Sin Envase,TACOS DE CHORIZO,8,QUESOS / LECHE,MONTERREY JACK,0.0066,0.909,5.99939986467361E-03,GRAMOS
TACOS,Sin Envase,TACOS DE CHORIZO,8,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CHORIZO,8,CARNES,CHORIZO MEJICANO,0.0067,2.727,1.82708999872208E-02,GRAMOS
TACOS,Sin Envase,TACOS AL PASTOR,8,VEGETALES ,LIMONES,0.0002,0.318,6.35999977588654E-05,GRAMOS
TACOS,Sin Envase,TACOS AL PASTOR,8,VEGETALES ,PIÑA,0.0013,1.591,2.06829994916916E-03,GRAMOS
TACOS,Sin Envase,TACOS AL PASTOR,8,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
TACOS,Sin Envase,TACOS DE POLLO,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS AL PASTOR,8,CARNES,PUERCO LISO,0.0052,3.182,1.65463995933533E-02,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,ESENCIAS,FRIJOLES NEGROS,0.0022,1.363,2.99860007762909E-03,GRAMOS
TACOS,Sin Envase,TACOS POLLO PASTOR,8,VEGETALES ,PIÑA,0.0013,1.591,2.06829994916916E-03,GRAMOS
TACOS,Sin Envase,TACOS POLLO PASTOR,8,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
TACOS,Sin Envase,TACOS POLLO PASTOR,8,ESENCIAS,ACHIOTE,0.0012,0.318,3.81599986553192E-04,GRAMOS
TACOS,Sin Envase,TACOS POLLO PASTOR,8,POLLOS o AVES,PECHUGA DE POLLO,0.0047,3.182,1.49553996324539E-02,GRAMOS
TACOS,Sin Envase,TACOS DE PULPO,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS DE PULPO,8,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
TACOS,Sin Envase,TACOS DE PULPO,8,MARISCOS,PULPO,0.0102,2.727,0.027815399980545,GRAMOS
TACOS,Sin Envase,TACO DE CARNE,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS AL PASTOR,8,ESENCIAS,ACHIOTE,0.0012,0.318,3.81599986553192E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE CARNE,14,QUESOS / LECHE,CHEDAR,0.0066,4.545,0.02999700050354,GRAMOS
ENCHILADAS,Sin Envase,ENCHI POLLO PASTOR,10.9,ESENCIAS,ACHIOTE,0.0012,0.318,3.81599986553192E-04,GRAMOS
ENCHILADAS,Sin Envase,ENCHI POLLO PASTOR,10.9,QUESOS / LECHE,MONTERREY JACK,0.0066,2.727,1.79981999874115E-02,GRAMOS
ENCHILADAS,Sin Envase,ENCHI ENFRIJOLADA,7,ESENCIAS,FRIJOLES NEGROS,0.0022,3.636,7.99919981956482E-03,GRAMOS
ENCHILADAS,Sin Envase,ENCHI ENFRIJOLADA,7,QUESOS / LECHE,MONTERREY JACK,0.0066,2.046,0.013503600025177,GRAMOS
ENCHILADAS,Sin Envase,ENCHI ENJITOMATADA,7,QUESOS / LECHE,MONTERREY JACK,0.0066,2.046,0.013503600025177,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON POLLO,8,VEGETALES ,CILANTRO,0.0013,0.045,5.85000023245811E-05,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON POLLO,8,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHOS DE CARNE,14,ESENCIAS,OREGANO,0.0082,0.091,7.46199984848499E-04,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,CARNES,CHORIZO MEJICANO,0.0067,0.682,4.56939987540245E-03,GRAMOS
LOS NACHOS,Sin Envase,NACHO NORTENO DE CHORIZO,14,QUESOS / LECHE,CHEDAR,0.0066,4.545,0.02999700050354,GRAMOS
ENCHILADAS,Sin Envase,ENCHI POLLO PASTOR,10.9,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
